#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
44920,嘻,嘻,hbl__07,,edb__KS1,hei1,hehe((merry laughter)),嘻,ہنسنا,hansna,हाँसो,हाहा ,,hehe
44930,噴,噴,hbl__07,,edb__KS1,pan3,spray,喷,سپرے,spray,छर्कनु,फुहार,,semprot
44940,噴嚏,噴嚏,hbl__07,,edb__KS1,pan3-tai3,sneeze,喷嚏,چھینکیں,cheenkein,हाच्छिउँ गर्नु,छींक,,bersin
44950,嚇,嚇,hbl__07,,edb__KS1,haak3,frighten,吓,ڈرانا,darana,डराउनु,डराना,,menakuti
44960,嚴重,嚴重,hbl__07,,edb__KS1,jim4-zung6,serious,严重,سنجیدہ,sanjeedah,गम्भीर,गंभीर,,serius
44970,嚷,嚷,hbl__07,,edb__KS1,joeng6,shout,嚷,چیخنا,cheekhna,कराउनु,चिल्लाना,,Berteriak
44980,囚犯,囚犯,hbl__07,,edb__KS1,cau4-faan2,prisoner,囚犯,قیدی,qaidi,कैदी,कैदी ,,tawanan
44990,四肢,四肢,hbl__07,,edb__KS1,sei3-zi1,four limbs,四肢,اعضاء,aaza,हात खुट्टाहरु,चरों टांगें ,,Anggota badan
45000,回復,回復,hbl__07,,edb__KS1,wui4-fuk6,revert,回复,واپس لوٹنا,wapis lotna,जवाफ फर्काउनु,पूर्वस्थिति में लौटना,,kembali
45010,國旗,國旗,hbl__07,,edb__KS1,gwok3-kei4,national flag,国旗,قومی پرچم,qomi parcham,राष्ट्रिय झण्डा,राष्ट्रीय ध्वज,,bendera kebangsaan
45020,國籍,國籍,hbl__07,,edb__KS1,gwok3-zik6,nationality,国籍,قومیت,Qumiyat,नागरिकता,नागरिकता,,kewarganegaraan
45030,圍巾,圍巾,hbl__07,,edb__KS1,wai4-gan1,scarf,围巾,سکارف,scarf,स्कार्फ,दुपट्टा,,syal
45040,圍牆,圍牆,hbl__07,,edb__KS1,wai4-coeng4,wall,围墙,دیوار,diwaar,पर्खाल,दीवार ,,dinding
45050,團,團,hbl__07,,edb__KS1,tyun4,ball-shaped,团,گیند کی طرح,gaind ki tarha,समूह,गोलाकार,,berbentuk bola
45060,團圓,團圓,hbl__07,,edb__KS1,tyun4-jyun4,reunion,团圆,ری یونین,reunion,पुनर्मिलन,पुनर्मिलन,,reuni
45070,團結,團結,hbl__07,,edb__KS1,tyun4-git3,unite,团结,متحد ہونا,Muttahid hona,एकता,एक होना,,bersatu
45080,團聚,團聚,hbl__07,,edb__KS1,tyun4-zeoi6,gather,团聚,جمع,jama,जम्मा हुनु,इक्कट्ठा होना,,mengumpulkan
45100,地毯,地毯,hbl__07,,edb__KS1,dei6-taan2[dei6-taam2],carpet,地毯,قالین,qaleen,कार्पेट,गलीचा,,karpet
45110,均勻,均勻,hbl__07,,edb__KS1,gwan1-wan4,evenly,均匀,یکساں,yaksa',एकैनासको,समानता से,,merata
45120,垃圾,垃圾,hbl__07,,edb__KS1,laap6-saap3,trash,垃圾,کچرا,kachra,फोहोर,कूड़ा ,,Sampah
45130,垃圾蟲,垃圾蟲,hbl__07,,edb__KS1,laap6-saap3-cung4,litterbug,垃圾虫,ردی کیڑا,raddi keera,फोहरमा पाईने किरा,कूड़ा फ़ैलाने वाला ,,tong sampah
45140,型,型,hbl__07,,edb__KS1,jing4,type(( model)),型,قسم,qism,प्रकार,प्रकार,,Tipe
45150,城堡,城堡,hbl__07,,edb__KS1,sing4-bou2,OK,城堡,ٹھیک ہے,theek hai,महल,महल,,Kastil
45160,培養,培養,hbl__07,,edb__KS1,pui4-joeng5,cultivate,培养,پرورش کرنا,parwarish karna,खेती गर्न,विकसित करना,,mengolah
45170,堅固,堅固,hbl__07,,edb__KS1,gin1-gu3,"firm, hard",坚固,مضبوط,mazboot,दरो,मजबूत,,Kokoh
45180,堅強,堅強,hbl__07,,edb__KS1,gin1-koeng4,strong,坚强,مضبوط,mazboot,बलियो,बलवान,,kuat
45190,堅硬,堅硬,hbl__07,,edb__KS1,gin1-ngaang6,rigid,坚硬,سخت,sakht,कडा,ठोस,,kaku
45200,堆填,堆填,hbl__07,,edb__KS1,deoi1-tin4,landfill,堆填,لینڈ فل ,landfill,ल्यान्डफिल,भरावक्षेत्र,,TPA
45210,堆積,堆積,hbl__07,,edb__KS1,deoi1-zik1,heap up,堆积,ڈھیر,dheer,संचय,ढेर लगाना,,menumpuk
45220,報刊,報刊,hbl__07,,edb__KS1,bou3-hon1[bou3-hon2],newspaper,报刊,اخبار,akhbaar,पत्रिका,अखबार,,koran
45230,報章,報章,hbl__07,,edb__KS1,bou3-zoeng1,newspaper,报章,اخبار,akhbaar,समाचार पत्र,अखबार,,Koran
45240,堵車,堵車,hbl__07,,edb__KS1,dou2-ce1,traffic jam,堵车,ٹریفک جام,traffic jam,ट्राफिक जाम,ट्रैफ़िक जाम,,Macet
45250,塑像,塑像,hbl__07,,edb__KS1,sou3-zoeng6,statue,塑像,بت,butt,मूर्ति,प्रतिमा,,patung
45260,塑料,塑料,hbl__07,,edb__KS1,sou3-liu2,plastic,塑料,پلاسٹک,plastic,प्लास्टिक,प्लास्टिक,,plastik
45270,塑膠,塑膠,hbl__07,,edb__KS1,sou3-gaau1,plastic,塑胶,پلاسٹک,plastic,प्लास्टिक,प्लास्टिक,,plastik
45280,塗,塗,hbl__07,,edb__KS1,tou4,smear,涂,داغ لگانا,dagh lagana,दल्नु,पोतना,,mengolesi
45290,塗改,塗改,hbl__07,,edb__KS1,tou4-goi2,alter,涂改,تبدیل,tabdeel,बदल्नु,बदलना ,,mengubah
45300,塘,塘,hbl__07,,edb__KS1,tong4,pond,塘,تالاب,talaab,पोखरी,तालाब,,kolam
45310,塞,塞,hbl__07,,edb__KS1,sak1,Jammed((Congested)),塞,بھرا ہوا,bhara hoa,कोच्चिएको,ठसा-ठस भरा ,,tersumbat
45311,塞,塞,hbl__07,,edb__KS1,coi3,frontier,塞,بھرا ہوا,bhara hoa,कोच्चिएको,सीमांत,,Barang
45330,塞車,塞車,hbl__07,,edb__KS1,sak1-ce1,traffic jam,塞车,ٹریفک جام,traffic jam,ट्राफिक जाम,ट्रैफ़िक जाम,,Macet
45340,填,填,hbl__07,,edb__KS1,tin4,fill,填,بھرنا,bharna,भर्न,भरना,,mengisi
45350,填充,填充,hbl__07,,edb__KS1,tin4-cung1,fill,填充,بھرنا,bharna,भर्न,भरना,,mengisi
45360,填詞,填詞,hbl__07,,edb__KS1,tin4-ci4,compose((lyrics)),填词,تحریر کرنا,tehreer karna,रचना,रचना करना,,penulis lagu
45370,墊,墊,hbl__07,,edb__KS1,zin3[din3][din6],pad,垫,پیڈ,pad,प्याड,गद्दी,,bantalan
45380,增添,增添,hbl__07,,edb__KS1,zang1-tim1,add,增添,شامل کرنا,shamil karna,जोड्नु,जोड़ना,,Menambahkan
45390,士兵,士兵,hbl__07,,edb__KS1,si6-bing1,soldier,士兵,سپاہی,sipahi,सिपाही,सैनिक ,,tentara
45400,士卒,士卒,hbl__07,,edb__KS1,si6-zeot1,soldier,士卒,سپاہی,sipahi,सैनिक,सैनिक ,,tentara
45410,士多啤梨,士多啤梨,hbl__07,,edb__KS1,si6-do1-be1-lei2,strawberry,士多啤梨,اسٹرابیری,strawberry,स्ट्रबेरी,स्ट्रॉबेरी,,Stroberi
45420,壹,壹,hbl__07,,edb__KS1,jat1,one,壹,ایک,aik,एक,एक,,satu
45430,壺,壺,hbl__07,,edb__KS1,wu4,kettle,壶,کیتلی,kettli,कित्ली,केतली,,ketel
45440,壽司,壽司,hbl__07,,edb__KS1,sau6-si1,sushi,寿司,سوشی,sushi,सुशी,सुशी,,Sushi
45450,外甥,外甥,hbl__07,,edb__KS1,ngoi6-sang1,nephew((sister's side)),外甥,بھتیجا,bhatija,भान्जा,भांजा ,,keponakan
45460,多姿多彩,多姿多彩,hbl__07,,edb__KS1,do1-zi1-do1-coi2,varied and graceful,多姿多彩,رنگین,rangeen,रंगीन,रंगीन,,berwarna
45470,多彩多姿,多彩多姿,hbl__07,,edb__KS1,do1-coi2-do1-zi1,varied and graceful,多彩多姿,رنگین,rangeen,बहुरंगी,विविध,,berwarna
45480,多餘,多餘,hbl__07,,edb__KS1,do1-jyu4,unnecessary,多余,غیر ضروری,ghair zaroori,अनावश्यक,अनावश्यक,,tidak diperlukan
45490,夢,夢,hbl__07,,edb__KS1,mung6,dream,梦,خواب,khuwaab,सपना,ख्वाब,,mimpi
45500,夢想,夢想,hbl__07,,edb__KS1,mung6-soeng2,"dream, wish",梦想,خواہش,khuwahish,ईच्छा,सपना ,,mimpi
45510,大名鼎鼎,大名鼎鼎,hbl__07,,edb__KS1,daai6-ming4-ding2-ding2,famous,大名鼎鼎,مشہور,mashoor,प्रख्यात,प्रसिद्ध,,terkenal
45520,大廈,大廈,hbl__07,,edb__KS1,daai6-haa6,mansion,大厦,حویلی,haweli,महल,हवेली,,rumah besar
45530,大拇指,大拇指,hbl__07,,edb__KS1,daai6-mou5-zi2,thumb,大拇指,انگوٹھا,angootha,बुढी औंला,अंगूठा ,,Ibu jari
45540,大排檔,大排檔,hbl__07,,edb__KS1,daai6-paai4-dong3,cooked food stall,大排档,فوڈ سٹال,food stall,खानाको स्टल,खोमचा,,warteg
45550,大眾,大眾,hbl__07,,edb__KS1,daai6-zung3,multitude,大众,عوام,awaam,ठूलो संख्यामा,जनता,,orang banyak
45560,大選,大選,hbl__07,,edb__KS1,daai6-syun2,election,大选,الیکشن,election,निर्वाचन,आम चुनाव,,pemilihan
45570,天鵝,天鵝,hbl__07,,edb__KS1,tin1-ngo4,swan,天鹅,ہنس,Hans,राजहाँस,हंस,,angsa
45580,夫妻,夫妻,hbl__07,,edb__KS1,fu1-cai1,husband and wife,夫妻,شوہر اور بیوی,shohar aur biwi,श्रीमान् र श्रीमती,पति और पत्नी,,Suami istri
45590,失蹤,失蹤,hbl__07,,edb__KS1,sat1-zung1,disappear,失踪,غائب هونا,gaib hona,हराइरहेको छ,लापता होना ,,menghilang
45600,夾,夾,hbl__07,,edb__KS1,gaap2[gip2],"clip((Hair, paper) ",夹,کلپ,clip,क्लिप,चिमटी,,jepitan 
45601,夾,夾,hbl__07,,edb__KS1,gaap3,to press((from both sides)),夹,کلپ,clip,थिच्नु,बीच में दबाना ,,menekan
45610,夾子,夾子,hbl__07,,edb__KS1,gaap3-zi2,OK,夹子,ٹھیک ہے,theek hai,हुन्छ,शिकंजा ,,Klip
45620,奏,奏,hbl__07,,edb__KS1,zau3,play music,奏,میوزک بجاؤ,music bajao,संगीत बजाउनु,संगीत बजाना ,,bermusik
45630,奔,奔,hbl__07,,edb__KS1,ban1,to dash((run quickly)),奔,تیڑ بھاگنا,teez bhagna,चाँडै दौडनु,तेजी से दौड़ना,,berlari 
45640,奔跑,奔跑,hbl__07,,edb__KS1,ban1-paau2,to dash,奔跑,تیڑ بھاگنا,teez bhagna,धकेल्नु,तेजी से दौड़ना,,berlari
45650,奔馳,奔馳,hbl__07,,edb__KS1,ban1-ci4,gallop,奔驰,سرپٹ دوڑنا,sarpat dorna,घोडाको दौडाई,सरपट दौड़ना,,berlari kencang
45660,奪,奪,hbl__07,,edb__KS1,dyut6,seize,夺,قبضہ کرنا,qabza karna,जफत,जब्त करना ,,Merebut
45670,奪得,奪得,hbl__07,,edb__KS1,dyut6-dak1,take,夺得,لینا,lena,लिनु,जीतना ,,mengambil
45680,女性,女性,hbl__07,cat__freq,edb__NA,neoi5-sing3,female,女性,عورت,aurat,महिला,महिला,,Perempuan
45690,奶酪,奶酪,hbl__07,,edb__KS1,naai5-lok3,cheese,奶酪,پنیر,paneer,चीज,चीज़ ,,keju
45700,妖怪,妖怪,hbl__07,,edb__KS1,jiu2-gwaai3,monster,妖怪,مونسٹر,monster,राक्षस,राक्षस,,raksasa
45710,妻子,妻子,hbl__07,,edb__KS1,cai1-zi2,wife,妻子,بیوی,biwi,पत्नी,पत्नी,,istri
45720,姓,姓,hbl__07,,edb__KS1,sing3,surname,姓,کنیت,kuniyat,थर,कुलनाम ,,nama keluarga
45730,姓名,姓名,hbl__07,,edb__KS1,sing3-ming4,full name,姓名,پورا نام,poora naam,पूरा नाम,पूरा नाम ,,nama lengkap
45740,姥姥,姥姥,hbl__07,,edb__KS1,lou5-lou5,maternal grandmother,姥姥,دادی,dadi,हजुरआमा,नानी ,,Nenek dari ibu
45750,姪,姪,hbl__07,,edb__KS1,zat6,nephew,侄,بهانجا,bhatija,भतिजा,भतीजा,,keponakan
45760,姿勢,姿勢,hbl__07,,edb__KS1,zi1-sai3,posture,姿势,انداز,andaaz,आसन,आसन,,sikap
45770,姿態,姿態,hbl__07,,edb__KS1,zi1-taai3,posture,姿态,انداز,andaaz,हाउभाउ,रवैया,,sikap
45780,威武,威武,hbl__07,,edb__KS1,wai1-mou5,mighty,威武,طاقتور,taqatwar,शक्तिशाली,ताकतवर,,kuat
45790,威風,威風,hbl__07,,edb__KS1,wai1-fung1,majestic,威风,شاندار,shaandar,भव्य,आलीशान,,keagungan
45800,婚禮,婚禮,hbl__07,,edb__KS1,fan1-lai5,wedding,婚礼,شادی,shaadi,विवाह,शादी,,pernikahan
45810,婚紗,婚紗,hbl__07,,edb__KS1,fan1-saa1,bridal veil,婚纱,شادی کا جوڑا / گھونگھٹ,shaadi ka jora / ghoonghat,दुलहीको पहिरन,शादी का जोड़ा,,Gaun pengantin
45820,嬰兒,嬰兒,hbl__07,,edb__KS1,jing1-ji4,baby,婴儿,بچہ,bacha,बच्चा,बच्चा,,bayi
45830,嬰孩,嬰孩,hbl__07,,edb__KS1,jing1-haai4,baby,婴孩,بچہ,bacha,बच्चा,बच्चा,,Bayi
45840,嬸嬸,嬸嬸,hbl__07,,edb__KS1,sam2-sam2,aunt((wife of father's younger brother)),婶婶,چاچی,chachi,काकी,चाची,,Bibi
45850,子彈,子彈,hbl__07,,edb__KS1,zi2-daan2[zi2-daan6],bullet,子弹,گولی,goli,गोली,गोली,,peluru
45860,孔,孔,hbl__07,,edb__KS1,hung2,hole,孔,سوراخ,surakh,प्वाल,छेद,,lubang
45870,孔雀,孔雀,hbl__07,,edb__KS1,hung2-zoek3,peacock,孔雀,مور,moor,मयूर,मोर,,merak
45880,字帖,字帖,hbl__07,,edb__KS1,zi6-tip3,copybook,字帖,کاپی بک,copy book,कपीबुक,कॉपी ,,Buku Copy
45890,存,存,hbl__07,,edb__KS1,cyun4,to deposit,存,جمع کرانا,jama karna,बचत गर्नुहोस्,जमा करना ,,Menyimpan
45891,存,存,hbl__07,,edb__KS1,cyun4,exist,存,موجود ہونا,mojood hona,बचत गर्नुहोस्,होना,,Menyimpan
45900,存款,存款,hbl__07,,edb__KS1,cyun4-fun2,deposit,存款,جمع کرانا,jama karna,जम्मा,जमा राशि,,menyetorkan
45910,孤兒,孤兒,hbl__07,,edb__KS1,gu1-ji4,orphan,孤儿,یتیم,yateem,टुहुरो,अनाथ,,anak yatim
45920,孤獨,孤獨,hbl__07,,edb__KS1,gu1-duk6,lonely,孤独,تنہا,tanha,एक्लो,अकेला,,kesepian
45930,孵化,孵化,hbl__07,,edb__KS1,fu1-faa3,hatch((eggs)),孵化,انڈے سے نکلنا,andey se nikalna,कोरल्नु,अंडे से निकलना ,,inkubasi
45940,安危,安危,hbl__07,,edb__KS1,on1-ngai4,safety,安危,حفاظت,hifazat,सुरक्षा,सुरक्षा,,keamanan
45950,安慰,安慰,hbl__07,,edb__KS1,on1-wai3,comfort,安慰,آرام,aaram,सान्त्वना,आराम,,kenyamanan
45960,安置,安置,hbl__07,,edb__KS1,on1-zi3,to place((find suitable place for)),安置,جگہ ڈھونڈنا,jaggah dhoondna,पनर्वास,जगह पर रखना,,Penempatan
45970,完畢,完畢,hbl__07,,edb__KS1,jyun4-bat1,finished,完毕,ختم,khatam,सक्किएको,पूर्ण,,lengkap
45980,定價,定價,hbl__07,,edb__KS1,ding6-gaa3,to fix a price,定价,قیمت طے کرنا,qeemat tay karna,मूल्य निर्धारण,मूल्य निर्धारण,,menetapkan harga
45990,客運,客運,hbl__07,,edb__KS1,haak3-wan6,passenger transport,客运,ٹرانسپورٹ,transport,यात्रुको लागी यातायात,यात्री परिवहन,,transportasi umum
46000,宣佈,宣佈,hbl__07,,edb__KS1,syun1-bou3,annouce,宣布,اعلان کرنا,aylaan karna,घोषणा गर्नुहोस्,घोषणा करना ,,Mengumumkan
46010,宣布,宣布,hbl__07,,edb__KS1,syun1-bou3,annouce,宣布,اعلان کرنا,aylaan karna,घोषणा गर्नुहोस्,घोषणा करना,,Mengumumkan
46020,宮殿,宮殿,hbl__07,,edb__KS1,gung1-din6,palace,宫殿,محل,mahal,दरबार,महल,,istana
46030,害羞,害羞,hbl__07,,edb__KS1,hoi6-sau1,shy,害羞,شرمیلی,sharmili,लजालु,संकोची ,,pemalu
46040,宴會,宴會,hbl__07,,edb__KS1,jin3-wui6,banquet,宴会,دعوت,dawat,भोज,भोज,,perjamuan
46050,家傳户曉,家傳户曉,hbl__07,,edb__KS1,gaa1-cyun4-wu6-hiu2,well-known,家传户晓,مشہور,Mashoor,प्रख्यात,जाना-माना,,semua tahu
46060,家務,家務,hbl__07,,edb__KS1,gaa1-mou6,housework,家务,گھر کا کام,ghar ka kaam,गृहकार्य,घर का काम,,pekerjaan rumah
46070,家喻户曉,家喻户曉,hbl__07,,edb__KS1,gaa1-jyu6-wu6-hiu2,well-known,家喻户晓,مشہور,Mashoor,परिचित,मशहूर ,,semua tahu
46080,家畜,家畜,hbl__07,,edb__KS1,gaa1-cuk1,domestic animals,家畜,پالتو جانور,paltu janwar,घरपालुवा जनावर,पालतू जानवर,,binatang lokal
46090,家禽,家禽,hbl__07,,edb__KS1,gaa1-kam4,domestic fowl,家禽,پالتُو پَرِندے,paltu parinday,कुखुरा,पालतू कुक्कुट ,,unggas lokal
46100,家私,家私,hbl__07,,edb__KS1,gaa1-si1,furniture,家私,فرنیچر,furniture,फर्नीचर,फर्नीचर,,Mebel
46110,寂寞,寂寞,hbl__07,,edb__KS1,zik6-mok6,lonely,寂寞,تنہا,tanha,एक्लो,अकेला,,kesepian
46130,富翁,富翁,hbl__07,,edb__KS1,fu3-jung1,man of wealth,富翁,امیر آدمی,ameer aadmi,धनी मानिस,अमीर आदमी,,Orang kaya
46140,富裕,富裕,hbl__07,,edb__KS1,fu3-jyu6,prosperous,富裕,خوشحال,khush haal,धनी,समृद्ध,,sejahtera
46150,寓言,寓言,hbl__07,,edb__KS1,jyu6-jin4,fable,寓言,کہانیاں,kahaniya,दन्त्यकथा,नीति कथा,,fabel
46160,寵物,寵物,hbl__07,,edb__KS1,cung2-mat6,pet,宠物,پالتو جانور,paltu janwar,घरपालुवा जनावर,पालतू,,membelai
46170,寶庫,寶庫,hbl__07,,edb__KS1,bou2-fu3,treasure house,宝库,خزانہ کا گھر,khazana ka ghar,खजाना घर,तिजोरी /तहखाना ,,harta karun
46180,寺廟,寺廟,hbl__07,,edb__KS1,zi6-miu6,temple,寺庙,مندر,mandir,मन्दिर,मंदिर,,Kuil
46190,將會,將會,hbl__07,cat__freq,edb__NA,zoeng1-wui5,will((future)),将会,کریں گے,karre gey,हुनेछ,करूंगा ,,akan
46200,專心致志,專心致志,hbl__07,,edb__KS1,zyun1-sam1-zi3-zi3,full devotion,专心致志,پوری عقیدت,poori aqidat,समर्पण,समर्पित होना ,,Didedikasikan
46210,尊敬,尊敬,hbl__07,,edb__KS1,zyun1-ging3,admire,尊敬,احترام,ahtram,प्रशंसा गर्नु,आदर करना,,mengagumi
46220,尊重,尊重,hbl__07,,edb__KS1,zyun1-zung6,respect,尊重,عزت,izzat,आदर,आदर करना,,menghormati
46230,對待,對待,hbl__07,,edb__KS1,deoi3-doi6,treat,对待,سلوک,sulook,उपचार,बरताव करना,,memperlakukan
46240,對調,對調,hbl__07,,edb__KS1,deoi3-diu6,swap,对调,تبادلہ,tabadla,साट्नु,अदला-बदली करना,,Menukar
46250,小丑,小丑,hbl__07,,edb__KS1,siu2-cau2,clown,小丑,جوکر,joker,जोकर,विदूषक,,badut
46260,小販,小販,hbl__07,,edb__KS1,siu2-faan2,hawker,小贩,چیزیں بیچنے والا,cheezein bechney wala,घुमेर सामान बेच्ने,फेरीवाला,,kaki lima
46270,尿,尿,hbl__07,,edb__KS1,niu6,urine,尿,پیشاب,pishaab,पिशाब,मूत्र,,air seni
46280,屁股,屁股,hbl__07,,edb__KS1,pei3-gu2,buttocks,屁股,بٹ,butt,चाक,कूल्हे,,pantat
46290,屋宇,屋宇,hbl__07,,edb__KS1,uk1-jyu5,housing((formal)),屋宇,گھر,ghar,घर,मकान,,rumah
46300,屋邨,屋邨,hbl__07,,edb__KS1,uk1-cyun1,housing estate,屋邨,ہاؤسنگ اسٹیٹ,housing estate,जग्गा,कालोनी,,perumahan
46310,屎,屎,hbl__07,,edb__KS1,si2,faeces,屎,پاخانہ,pakhana,दिसा,मल,,kotoran
46320,屏幕,屏幕,hbl__07,,edb__KS1,ping4-mok6,screen,屏幕,اسکرین,screen,पर्दा,स्क्रीन,,layar
46330,展覽,展覽,hbl__07,,edb__KS1,zin2-laam5,exhibition,展览,نمائش,numaish,प्रदर्शनी,प्रदर्शनी,,pameran
46350,山峯,山峯,hbl__07,,edb__KS1,saan1-fung1,mountain peak,山峯,پہاڑ کی چوٹی,pahar ki chotti,हिमाल शिखर,पहाड़ की चोटी,,puncak gunung
46360,山巒,山巒,hbl__07,,edb__KS1,saan1-lyun4,chain of mountains,山峦,پہاڑ,pahar,हिमश्रृंखला,पर्वत,,pegunungan
46370,山腰,山腰,hbl__07,,edb__KS1,saan1-jiu1,mid-hill,山腰,پہاڑ کےدرمیان,pahar k darmiyan,मध्य पहाड,बीच पहाड़ के ,,Sisi gunung
46380,峽谷,峽谷,hbl__07,,edb__KS1,haap6-guk1,canyon,峡谷,وادی,waddi,घाटी,घाटी,,ngarai
46390,巢,巢,hbl__07,,edb__KS1,caau4,nest,巢,گھوںسلا,ghonsla,गुँड,घोंसला,,sarang
46400,工匠,工匠,hbl__07,,edb__KS1,gung1-zoeng6,craftsman,工匠,کاریگر,karigar,कालीगढ,शिल्पकार,,tukang
46410,巧克力,巧克力,hbl__07,,edb__KS1,haau2-hak1-lik6,chocolate,巧克力,چاکلیٹ,chocolate,चकलेट,चॉकलेट,,cokelat
46420,巫婆,巫婆,hbl__07,,edb__KS1,mou4-po4,witch,巫婆,ڈائن,daein,बोक्सी,डायन,,penyihir
46430,巫師,巫師,hbl__07,,edb__KS1,mou4-si1,wizard,巫师,جادوگر,jadugar,जादुटोना गर्ने मान्छे,जादूगर,,Penyihir
46440,布偶,布偶,hbl__07,,edb__KS1,bou3-ngau5,doll,布偶,گڑیا,gurya,पुतली,गुड़िया ,,boneka
46450,布置,布置,hbl__07,,edb__KS1,bou3-zi3,decorate,布置,سجانا,sajana,सजावट,सजाना ,,menghias
46460,帆船,帆船,hbl__07,,edb__KS1,faan4-syun4,sailing ship,帆船,سیل بوٹ,sail boat,पानी जहाज,पाल नाव,,perahu layar
46470,帥,帥,hbl__07,,edb__KS1,seoi3,handsome,帅,خوبصورت,khoobsurat,सुन्दर,सुंदर,,Tampan
46480,師奶,師奶,hbl__07,cat__freq,edb__NA,si1-naai1,middle-aged lady,阿姨,عورت,aurat,वयस्क महिला,मध्यायु,,tante
46490,帳幕,帳幕,hbl__07,,edb__KS1,zoeng3-mok6,tent,帐幕,خیمہ,khaimah,पाल,तंबू,,tenda
46500,幕,幕,hbl__07,,edb__KS1,mok6,curtain,幕,پرده,pardah,पर्दा,पर्दा ,,tirai
46510,平均,平均,hbl__07,,edb__KS1,ping4-gwan1,average,平均,اوسط,ausat,औसत,औसत,,rata-rata
46520,年齡,年齡,hbl__07,,edb__KS1,nin4-ling4,age,年龄,عمر,umar,उमेर,आयु,,usia
46530,幸運,幸運,hbl__07,,edb__KS1,hang6-wan6,fortunate,幸运,خوش قسمت,khush qismat,भाग्यमानी,सौभाग्यशाली,,beruntung
46540,幼稚園,幼稚園,hbl__07,,edb__KS1,jau3-zi6-jyun2[jau3-zi6-jyun4],kindergarten,幼稚园,کنڈرگارٹن,kindergarten,बाल स्याहार केन्द्र,बाल विहार,,TK
46550,店鋪,店鋪,hbl__07,,edb__KS1,dim3-pou3,shop,店铺,دکان,dukan,पसल,दुकान,,Toko
46560,康復,康復,hbl__07,,edb__KS1,hong1-fuk6,recover,康复,صحت یاب ہونا,Sehat Yaab Hona,पुन: प्राप्न गर्नु,स्वस्थ होना,,Rehabilitasi
46570,康樂,康樂,hbl__07,,edb__KS1,hong1-lok6,recreation,康乐,تفریح,tafreeh,मनोरन्जन,मनोरंजन,,Rekreasi
46580,廟,廟,hbl__07,,edb__KS1,miu2[miu6],temple,庙,مندر,mandir,मन्दिर,मंदिर,,Kuil
46590,廢物,廢物,hbl__07,,edb__KS1,fai3-mat6,rubbish,废物,رَدّی,Raddi,फोहोर,कूड़ा,,sampah
46600,廣州,廣州,hbl__07,,edb__KS1,gwong2-zau1,"Canton, Guangzhou",广州,گوانگ,guang,गुआन्झाउ,गुआंगज़ौ,,Guangzhou
46610,延伸,延伸,hbl__07,,edb__KS1,jin4-san1,extend,延伸,بڑھانا,Barhana,विस्तार,विस्तार करना ,,memperpanjang
46620,延長,延長,hbl__07,,edb__KS1,jin4-coeng4,prolong,延长,بڑھانا,Barhana,लम्बिनु,लंबा करना,,memperpanjang
46630,建設,建設,hbl__07,,edb__KS1,gin3-cit3,build,建设,تعمیر کرنا,ta'meer karna,बनाउनु,निर्माण करना ,,membangun
46640,建議,建議,hbl__07,,edb__KS1,gin3-ji5,advise,建议,مشورہ دینا,mashwara dena,सुझाव दिनुहोस्,सुझाना,,Menyarankan
46650,弱,弱,hbl__07,,edb__KS1,joek6,weak,弱,کمزور,kamzoor,कमजोर,कमज़ोर,,lemah
46660,弱智,弱智,hbl__07,,edb__KS1,joek6-zi3,retarded,弱智,کم عقل,Kam Aqal,मानसिक अशक्त,मानसिक रूप से अस्वस्थ,,Cacat mental
46670,弱能,弱能,hbl__07,,edb__KS1,joek6-nang4,disabled,弱能,معذور,mazoor,अपांग,विकलांग,,disabilitas
46680,彈,彈,hbl__07,,edb__KS1,daan6,elastic,弹,لچک دار,Lachk Dar,लचकदार,लचीला,,elastis
46682,彈,彈,hbl__07,,edb__KS1,taan4,play((instrument)),弹,لچک دار,Lachk Dar,बाजा बजाउनु,वाद्य बजाना ,,memainkan instrumen
46681,彈,彈,hbl__07,,edb__KS1,taan4,criticise,弹,تنقید کرنا,tanqeed karna,निन्दा,दोष निकालना,,mengkritik
46700,彈弓,彈弓,hbl__07,,edb__KS1,daan6-gung1,catapult,弹弓,غلیل,ghulail,गुलेली,गुलेल,,katapel
46710,彗星,彗星,hbl__07,,edb__KS1,seoi6-sing1,comet,彗星, کومت, comet,लामपुच्छ्रे तारा,धूमकेतु,,komet
46720,彩虹,彩虹,hbl__07,,edb__KS1,coi2-hung4,rainbow,彩虹,رینبو,rainbow,इन्द्रेणी,इंद्रधनुष,,Pelangi
46730,後悔,後悔,hbl__07,,edb__KS1,hau6-fui3,regret,后悔,پچهتاوا,pachtawa,अफसोस,खेद,,penyesalan
46740,復活,復活,hbl__07,,edb__KS1,fuk6-wut6,resurrection,复活,قیامت,qayamat,ब्यूँताउनु,पुनरुत्थान,,kebangkitan
46750,心臟,心臟,hbl__07,,edb__KS1,sam1-zong6,heart,心脏,دل,dil,मुटु,दिल,,jantung
46760,必須,必須,hbl__07,,edb__KS1,bit1-seoi1,must,必须,ضرور,zaroor,पर्छ,जरूरी,,harus
46770,忌廉,忌廉,hbl__07,,edb__KS1,gei6-lim1,cream,忌廉,کریم,cream,क्रीम,मलाई,,Krim
